Comment,Stock,Price,Date,Label
I am glad I didn’t sell my VXX calls I bought on Thursday for .12 and on Friday it was 3.18 I am hoping to sell at 10.00.,VXX,3.18,"[Thursday, Friday]",1
"$51 -&gt; $6.2k in 17 days. Mostly SPY yolos. Special thanks to Italy, the Saudis, and Robinhood diamond hands.",SPY,$6.2,[17 days],1
Draft Kings Merger filed. 3.3 billion valuation with 500 million cash. DEAC set time change in April,DEA,3.3,[April],1
"CYOU. Wtf!! I forgot my phone at home today and upon return from work I see CYOU puts are up to $2.25, but the stock price went up 12% today. Is this a glitch? Wtf?!? I actually tried to sell this bs yesterday. Glad it didn’t go through. Either way I put in to sell ASAP. Hopefully it will.",YOU,$2.25,"[today, today, yesterday]",1
Cancelled a buy position and lowered my take profit for a short position 🌈🐻 after U.S. cases surpassed 1000 💩🌬️ got in at $2813.2 I predict $SPX to drop to ~$2600 today 🤤,$S,$2813.2,"[1000, today]",1
I almost had a win! My .02USO call for October flashed to 1.15,USO,1.15,[October],1
My SPY $278p 3/20 went from being worth $13.70 to $0.01 as soon as the market opened today? How???,SPY,$13.70,[today],1
SPY $255p = 10.6K &gt; 26.8K. +140% gain. Time to figure out the next play once the volatility today settles. Good chance we will have another dead cat bounce before the sell off tomorrow prior to the weekend.,SPY,10.6,"[today, tomorrow, the weekend]",1
SPY $255p: $10.6k to 26.8k. +140%. Time to figure out tomorrow’s play once today settles down.,SPY,$10.6,"[tomorrow, today]",1
"Today, the Trump administration stood by a proposed cut of $9.5 billion to HHS, including a 15 percent cut of $1.2 billion to the CDC and a $35 million decrease to the Infectious Diseases Rapid Response Reserve Fund. (via @mikercarpenter on $TWITR)",$TW,$9.5,[Today],1
"Amalgamation of support lines of ^DJIA, with high correlation to SPY. CLOSE below 22.4 (seems likely) may trigger a retesting the next low(s) at 17.8 or 15.9 set 10/16 and 2/16 respectively. Case could be made for 20 n change set in 2q 2017.",DJIA,22.4,[2q 2017],1
Closed my $1.6M SPY short after hours for a $355K gain in one month,SPY,$1.6,[one month],1
"Baby Gains: 1.5 months, started with $500. Played SPCE, AMD and MSFT, then became a 🌈 🐻 and YOLO’d it all yesterday on VXX. It’s been a journey my fiends...",MSFT,1.5,"[1.5 months, yesterday]",1
"Wurtzite Boron Nitride Hands - 16,216.7% gain on SPY puts opened on February 14th",SPY,216.7,[February 14th],1
"Wurtzite Boron Nitride Hands - 16,216.7% gain on SPY puts opened on February 14th",SPY,216.7,[February 14th],1
(TQQQ) MAR 13 2020 CONDOR PUT 65/64.5/63.5/63,TQQQ,64.5,[13 2020],1
The spectacular rise and fall of $TLRY $300.00 to $4.50 in 18 months. Now it officially joins $ACB as a penny stock.,TLRY,$300.00,[18 months],1
Thx to you my account went from 1700.00 in Dec. /19 special thanks to SPCE DD POST QQQ SHAK RCL CCL CRUS SPY,SPCE,1700.00,[Dec.],1
"Joined WSB 3 months ago with only 1k, I tried selling an otm $DPZ for .35 but couldn't sell before earnings, ended up selling the next day for 14.90 is that autistic enough?",DPZ,14.90,"[3 months ago, the next day]",1
Can someone explain why some of these puts are valued so poorly? $0.01 to bet that WFC will finish below $31 when it was at ~$26 this past week?,WFC,$0.01,[this past week],1
NYC has huge decline in manufacturing for the month of march (-21.5),NYC,21.5,[the month of march],1
4816.67% today on my USO Put,USO,4816.67,[today],1
"What’s your take on Everi(EVRI)? Stock closed at $3.10, was close to $15, 3 weeks ago.",EVRI,$3.10,[3 weeks ago],1
$JNUG hit $3.5 today. How retarded is $JNUG 4c 1/2022 tomorrow?,JNUG,$3.5,"[today, tomorrow]",1
"New COVID19 Case Numbers Nearly Doubled Today, 1.7k --&gt; 2.6k+, expect 5k+ daily growth by the weekend.",OVID,1.7,"[Today, the weekend]",1
"20 years old, called the market crash, 2.5 to 130k this month, 90k in april shorts holding overnight ($SPY, $AMD, $TSLA)",TSLA,2.5,"[20 years old, this month, april]",1
"Tomorrow’s papers will read “Elon designs super badass ventilator that can be mass produced seamlessly and increase lung capacity from 0-100 in 2.6 seconds” TSLA calls to $1,000 bitches.",TSLA,2.6,[Tomorrow],1
The Faggiest of FDs. I have Boron hands and I think it will close above $3.10 today but I'm afraid RH is gonna screw me @3pm would have bought more but RH wouldn't let me. 161 ABEV Contracts 3/20 2.50C,ABEV,$3.10,"[today, 2.50C]",1
"Bought $LUB at 0.90, the VERY next day it plummets to 0.50 after restaurants closed.",$LU,0.90,[next day],1
Options virgin. My body is ready. SPCE 12.5p 3/27,SPCE,12.5,[12.5p 3/27],1
Help! Did theta fk me today? SPY was down 4.5%!! What’s gives 🥴,SPY,4.5,[today],1
Damn I wanted that 0.3% APY another 90 days and the interest rates gonna be negative anyway,PY,0.3,[another 90 days],1
"281,000 Americans filed for unemployment last week, a 33% jump over the prior week and the biggest % increase since 1992. Next week, 2.25 MILLION are predicted to file for unemployment— 8 times the number last week and the highest number EVER.",LION,2.25,"[last week, the prior week, 1992, Next week, last week]",1
Mexico YOLO'd $1.26 billion in 2018,YOLO,$1.26,[2018],1
NEED LIQUIDITY BARGAIN: SRP Nov 2020 65.0 calls @ .50,GAIN,65.0,[2020],1
"Royal Caribbean (RCL) confirms it has entered a USD 2.2bln, 1-year secure term loan facility; has over USD 3.6bln of liquidity composed of cash deposits and existing undrawn revolving credit facilities",USD,2.2,[1-year],1
Babie's first YOLO. 40x VXX 60c 3/27 $15.6k,YOLO,$15.6,[40x],1
$15.6k VXX 60c 3/27,VXX,$15.6,[60c 3/27],1
"2.5k to 8.5k in a month. Gains were from churning SPY, CCL, INDA puts. I rolled most positions when they were up 50%. FOMO is starting to kick in. How much meat is left on the bone?",INDA,2.5,[a month],1
"Why didn't you idiots just buy $CCL on Wednesday at 8.60 a share, you would be up 50% today.",$CC,8.60,"[Wednesday, today]",1
Etrade is broken! Buy SPY puts at a $235 strike for Jul '17 and the price instantly jumps to over $2.5k!!!!,SPY,$2.5,['17],1
India announces 21 day lockdown for its 1.3billion population. INDA puts just printed.,INDA,1.3,[21 day],1
666.66 and $696.9 gain NICE. Big pump tomorrow I bought spy $252 3/25,NICE,666.66,[tomorrow],1
Walgreens (WBA) dividend is 4.20% today,WBA,4.20,[today],1
Buy CheeseCake Factory (CAKE) Puts Won’t be able to pay rent next month and possibly will miss May and June and .... you get the picture. Pretty straightforward here . JUL 20.00 Puts,CAKE,20.00,"[next month, May and June]",1
$DHR owns CEPHEID who just last weekend got FDA approval for a 45 minute test and Rutgers just gave it the green light in 3.5 days. $110c 4/17,EPHE,3.5,"[last weekend, 3.5 days]",1
"KOS (Kosmos Energy) — go ahead and attack!!!!!!!!!! I bought at $0.78, 52 week high is $7.55",KOS,$0.78,[52 week],1
"Trading 3X ETFs options and stock. All while abiding by my firms 15 day holding period. Stuck shorting $IMAX, $CCL, $Z, and $GRUB until april 1st. Holding May 1st 11.50 $NUGT.",NUGT,11.50,"[15 day, april 1st, May 1st]",1
Someone bought 2500 contracts of SPY $200 Puts expiring tomorrow for 0.01 each at close. $2500 down the drain!,SPY,0.01,[tomorrow],1
"Bought TLRY at 4.05, sold at 8.10. 100% profit in 2 days. Only bought $600 worth; it ain’t much but it’s honest work.",TLRY,4.05,[2 days],1
$MGY April 17 $7.5 calls. Why? DD in side,MGY,$7.5,[April 17],1
LADR up 124.3% with stupid FED pump anyone up from some puts? 7.5p 5/15,LADR,124.3,[7.5p],1
The first option I bought after years away from the Game - SPY 150P 7/17 @1.5,SPY,1.5,[years],1
"First Trade: AUDUSD Calls, 1500 contracts at 248.3 latest (week contract)",USD,248.3,[week],1
How in the name of 🌈 👶🏻 Jesus did BYND Puts go from $0.77 to $0.05 in 2 days?,BYND,$0.77,[2 days],1
"To all my fellow put holders I feel for you. Sold all calls yesterday and am currently stuck with LYFT 17.5p 4/17, Twitter 17p 4/17, and GoPro 2.5 4/17. IV crush is killing us autists but I believe in the gay bear dream.",LYFT,17.5,[yesterday],1
"1.26M on SPY PUTS‼️‼️ Let’s hope they print🙏🏾 On another note, its a scary time out here in NY; especially at Stony Brook Hospital. My classes got moved to zoom online. Should I even go on Monday 🤣",SPY,1.26,[Monday],1
"#Wuhan residents estimate, based on calculations of cremations and urns now being returned to families, that between 42k-46k (!!) died in city + surrounding areas in the 2.5 months of lockdown. Far more than official figure of 2535 deaths. #COVID19 - via @eileenguo",OVID,2.5,"[the 2.5 months, 2535]",1
Green Monday futures up 1.5% WTF??? MY TENDIES WHY,TEN,1.5,[Green Monday],1
In 2 months turned 1.9k into 16.5k. From SPCE and INO calls. In one month I turned 16.5k into 312 from TSLA calls. Hopefully these 4/17 SPY puts will give me another come up!,SPCE,1.9,"[2 months, one month]",1
$SPY is now only 7.4% lower today than it was a year.,SPY,7.4,"[today, a year]",1
Me once I see SPY -0.01% on today’s session,SPY,0.01,[today],1
"Surest way to turn $500 to $3,000 within two weeks? 2 LAKE 15 calls at $2.50 each to $15.00 by April 16th. You with me? Tell me why I'm wrong????",LAKE,$2.50,"[two weeks, April 16th]",1
"Can someone explain? I’ve had (35) GME 4/3 $3.50 P for a week or two now, and price dropped 15% today and is now 3 cents from strike, yet I’m still down 70% and lost $100 today...what?",GME,$3.50,"[a week, today, today]",1
BREAKING: US weekly jobless claims total 6.6 million,BREA,6.6,[weekly],1
"Just in case you can’t math, which many of you can’t. The 3.3 million jobless claims stat from last week WAS NOT revised. These 6.6 million jobless claims are for this latest week. 3.3+6.6=9.9 (million) jobless claims in two weeks. Ultimately, this will be celebrated by the markets. SPY $420 4/17.",SPY,3.3,"[last week, this latest week, two weeks]",1
SPY up 2.23% today. u/buttermenasty kill the gecko or ban,SPY,2.23,[today],1
"Loaded USO May 15, 6c ($0.37) - How retarded am I today?",USO,$0.37,"[May 15, today]",1
"Loaded USO May 15, 6c ($0.39) - How retarded am I today?",USO,$0.39,"[May 15, today]",1
"LMT $345 and $347.5 puts expiring tomorrow , how retarded am I",LMT,$347.5,[tomorrow],1
Update: NIO 2.50p 2/9 from yesterday,NIO,2.50,[yesterday],1
"Loaded $USO May 15, 6c ($0.39) - Am I sporting too many chromosomes today? Oil did not react to fake news. That should be a sign its gonna moon.",USO,$0.39,"[May 15, today]",1
"Free Tendies...OMI... My positions 4/17, 5/5, 6/something... over 100 contracts including 2.50, 5.00, 7.50, 10, 12.50. ***The contract is in and this is the award notice: &gt;$62,000,000. Stock up before the mainstream media gets wind of it.",OMI,2.50,"[7.50, 12.50]",1
"ALPHABET INC poised to reach $1160.00 by April 6, 2020. Therefore, STRONG BUY &amp; HOLD",STRO,$1160.00,"[April 6, 2020]",1
Started off as a late bear with 1.8k &gt; 10k &gt; lost all back to 2.5k. Stopped being gay &amp; selling LK puts for sideways market &amp; AAPL weekly YOLO.,AAPL,1.8,[weekly],1
"I'm a Broker for 30 years on wall street and there are Predicting Gold will Hit over $3,500 this month of April best funds to buy is $JNUG =$$$ only $4.70 HEADED TO $25.00 TO $30.00 This month April 2020",JNUG,$4.70,"[30 years, this month, April, This month, April 2020]",1
"I'm a Broker for 30 years on wall street and there are Predicting Gold will Hit over $3,500 this month of April best funds to buy is $JNUG =$$$ only $4.70 HEADED TO $25.00 TO $30.00 This month April 2020",JNUG,$4.70,"[30 years, this month, April, This month, April 2020]",1
"🌈🐻: Thank you SO much for telling me to hold my Jartek puts these past months -- was down 99.9% ever since he was u/WSBGod up until last night, but straight up PRINTED this morning at open. 💎🤲🐻🤲💎 DIAMOND HANDS FOR LIFE 💎🤲🐻🤲💎",OND,99.9,[these past months],1
"Dear All 🌈🐻: Thank you SO MUCH for telling me to hold my Jartek 4/10 $0p these past few months. I've been down 99.99% ever since he was u/WSBGod, but my puts literally PRINTED at open this morning. 💎🤲🐻🤲💎 DIAMOND HANDS FOR LIFE💎🤲🐻🤲💎",OND,99.99,[these past few months],1
"Dear All 🌈🐻: Thank you SO MUCH for telling me to hold my Jartek 4/10 $0p these past few months. I've been down 99.99% ever since he was u/WSBGod, but my puts literally PRINTED at open this morning. 💎🤲🐻🤲💎 DIAMOND HANDS FOR LIFE💎🤲🐻🤲💎",OND,99.99,[these past few months],1
"Dear All 🌈🐻: Thank you SO MUCH for telling me to hold my Jartek 4/10 $0p these past few months. I've been down 99.99% ever since he was u/WSBGod, but my puts literally PRINTED at open this morning. 💎🤲🐻🤲💎 DIAMOND HANDS FOR LIFE💎🤲🐻🤲💎",OND,99.99,[these past few months],1
OIL GANG!! Turned 4.5k to 35k,GAN,4.5,[4.5k to 35k],1
"RIP 8.5k, gonna be 10k down soon. SPY 195p 4/17 am I rite doe",SPY,8.5,[10k],1
I single-handedly kept the SPY from crossing 281.2 today.,SPY,281.2,[today],1
"Crazy stat -- all of this year's decline for $SPY has come after hours (buy the close, sell the next open). If you only owned intraday (buy the open, sell the close), you'd be up 9.3% YTD.",SPY,9.3,[year],1
Started with 2.5k mid February... turned that to 35k being a gay bear. Look at me now bitches. YOLOing SPY calls like a beastly bull.,YOLO,2.5,"[mid February, 35k]",1
"JUNG will HIT $15.00 BY tomorrow, ITS ONLY $7.00 NOW Gold will Surpass $1,900 an ounce moving to an all time High of $2,500 an ounce by friday!!",UNG,$15.00,"[tomorrow, friday]",1
"JUNG will HIT $15.00 BY tomorrow, ITS ONLY $7.00 NOW Gold will Surpass $1,900 an ounce moving to an all time High of $2,500 an ounce by friday!!",UNG,$15.00,"[tomorrow, friday]",1
"JUNG will HIT $15.00 BY tomorrow, ITS ONLY $7.00 NOW Gold will Surpass $1,900 an ounce moving to an all time High of $2,500 an ounce by friday!!",UNG,$15.00,"[tomorrow, friday]",1
"JUNG will HIT $15.00 BY tomorrow, ITS ONLY $7.00 NOW Gold will Surpass $1,900 an ounce moving to an all time High of $2,500 an ounce by friday!!",UNG,$15.00,"[tomorrow, friday]",1
"JNUG will HIT $15.00 BY tomorrow, ITS ONLY $7.00 NOW Gold will Surpass $1,900 an ounce moving to an all time High of $2,500 an ounce by friday!!",JNUG,$15.00,"[tomorrow, friday]",1
Got banged by the mouse. $Dis 4/09 100p &amp; 4/09 93p. Riding out $CSCO 4/17 41c &amp; $CMCSA 37.5c,CMCSA,37.5,[4/09 93p],1
Took puts on TQQQ at 55.65 cant wait the open at 59+ now,TQQQ,55.65,[59+],1
Bought $8k of SPXU at $27.81. So far I’ve lost my ass but I’m holding for redemption... sitting at ~$18.75 at yesterday’s close. Where’s the S&amp;P go from here?,SPXU,$18.75,[yesterday],1
"After going from $2.6K to $20k last month and obliterating 70% of my portfolio in SPY puts, I got lucky on my TSLA &amp; NVDA calls this morning.",TSLA,$2.6,[last month],1
"My Brokers from Wall Street are Telling me Gold is going to past $2,500 this month BUY GOLD AND A FUND CALLED JNUG!!!! Jung only $7.00 HEADED TO $20.PLUS!!!!",JNUG,$7.00,[this month],1
"French study finds hydroxychloroquine (touted as the ""gamechanger drug"" by Trump) doesn’t help patients with coronavirus: 20.2% admitted to ICU or dead within 7 days vs 22.1% without the drug.",ICU,20.2,[7 days],1
SPY down -2.64% tomorrow,SPY,2.64,[tomorrow],1
"TripAdvisor is up 1435.1% today, RECESSION CANCELLED! 10 BAGGER ALERT!",CANC,1435.1,[today],1
Thoughts on Harley-Davidson [ HOG ] - $2.3B in debt due within a year,HOG,$2.3,[a year],1
Great news today! SPY 420.69,SPY,420.69,[today],1
How dumb am I? MSFT $190 C expiring May 1 for $1.95 strike price,MSFT,$1.95,[May 1],1
MSFT $190 C expiring May 1 for $1.95,MSFT,$1.95,[May 1],1
What happend to my AMD 57.50 options that expire on the 17th?,AMD,57.50,[the 17th],1
"ACB closed at 0.69 today, market opens 4/20",ACB,0.69,[today],1
BREAKING: Crude oil's May contract plunges as low as just $0.01 per barrel,BREA,$0.01,[May],1
"-99.55% in the last 5 years, sound like one of your SPY puts?",SPY,99.55,[the last 5 years],1
Play posted here last week: $0.50p on May WTI futures,WTI,$0.50,"[last week, May]",1
"United Airlines, the first U.S. airline to disclose preliminary information on how the pandemic has impacted its financial results, said it lost $2.1 billion on a pretax basis in the first quarter of 2020.",nan,$2.1,[the first quarter of 2020],1
Sold my first put today. $10 on AAL and $18.5 on NVAX. 4/24,NVAX,$18.5,[today],1
"Reposting because I forgot positions like a retard. USO 6/19 2.5p and 2p, STNG 5/15 30c. This is the real oil money.",STNG,2.5,[6/19 2.5p],1
USO 3.5 put options were up 420% today,USO,3.5,[today],1
"USO 3.5 put options closed up 420% today, profits were high, happy 4/20",USO,3.5,[today],1
3 Calls $UCO $1.50 that expire 5/15 the stock does a reverse split 1:25 and I got in at .38 and ended at .48 the volume of the stock has gone up $32 million dollars in one day because everyone thought oil crashed to -37.00 but it was just the last day of the crude contracts for March to expire,UCO,$1.50,"[1:25, one day, the last day, March]",1
"ELI5: So if someone bought a negative price on oil yesterday, or 0.01 on USOIL CFDs, did they just hit the jackpot?",USOI,0.01,[yesterday],1
"Can someone explain to me why UCO is now at $23, when it was at $1.34 yesterday?",UCO,$1.34,[yesterday],1
What the hell happened... I bought 175 shares of UCO yesterday at $1.31 and now it says UCO is trading at $18 today but I only have 7 shares of it and I purchased it at $34/ share??? So confused,UCO,$1.31,"[yesterday, today]",1
"Common sense the dollar will Crash very soon &amp; very Hard down to .70, The 🇺🇸 US is doomed financially, keep on printing more 💰 monopoly 😑 money, SELL ur Running close to Skid Row with the dollar!!BuY Gold =$$$ 👍 GREAT FUND IS JNUG GOING FROM $6.00 TO DOUBLE $12.00 JNUG=$$$",JNUG,$6.00,[🇺],1
"I sorta just picked up some Dec 2022 $2c when USO hit $2.40 this afternoon on a complete whim. I did very little research before the purchase. Now that I’ve done some, I feel like the smart move is to sell ASAP tomorrow. However, with the US$ backed on oil should I just risk and stick it out?",USO,$2.40,[tomorrow],1
Dave Portnoy tries to close out his $1.3m AMZN position at the close today,AMZN,$1.3,[today],1
Update your models: NYC reports 5 in 1000 death due to covid and 14% antibody positive rate. Germany has been reporting 4 in 1000 for a while... flu typically kills 1 in 1000 (max recorded for flu mortality is 1.4 in 1000 in 2017 ),NYC,1.4,"[1000, 1000, 1000, 2017]",1
"1k to 10k to $42.25 in 3 months , yoloed 9k on Mar. 27th 40 puts on AMD .",AMD,$42.25,"[1k to 10k, 3 months, Mar. 27th]",1
"1k to 10k to $42.25 in 3 months , yoloed 9k on AMD $40 Mar.27th puts . Can I come back ?",AMD,$42.25,"[1k to 10k, 3 months]",1
QQQ is down only 6.5% for 2020? Does that seem righteous to any of you? QQQ puts every 2 weeks until they hit.,QQQ,6.5,"[2020, every 2 weeks]",1
How is SPXS at 10.60 now when it was at 11.40 on February 19th?,SPXS,10.60,[February 19th],1
MSFT 177.5 May 8 - if gain comes flip it to AMZN calls,MSFT,177.5,[May 8],1
GOOD NEWS: Only 3.5K more deaths between now and August!,GOOD,3.5,[August],1
12 days ago I hit front page- y’all said I’d loose it all because the market was gay.... I cashed out this morning @11.99 per share (OSTK) and I STILL get my 400 shares of crypto in May. +13k from last post 💎 🖐 🤚,TILL,11.99,"[12 days ago, May]",1
MSFT May 01 177.5C,MSFT,177.5,[May 01 177.5C],1
1750 $UAVS avg $2.17 YOLO,UAVS,$2.17,[1750],1
"NYTimes: Another 3.8 million U.S. workers filed jobless claims last week, putting the six-week total at over 30 million",NYT,3.8,"[last week, six-week]",1
"Money Printer go Brrrrr. $MSFT 5/15 175C, $SDC 6/5 6.5C",MSFT,6.5,[175C],1
"Atlanta Fed released initial Q2 estimate for GDP today: -12.1% - PAGING DRILL TEAM 6, PREP FOR DEPLOYMENT",TEAM,12.1,[today],1
"Tilray partnered up with Bud there working on a Beer adding with Weed in it, once it comes out TILRAY can easily Climb to $25.00 to $30.00 Again Plus Tilray is at a low now of $7.00 EXCELLENT BUY 👌 Short Squeeze Comming Lots of Money 💰 to be made BUY AND HOLD TILRAY $$$$$$$ https://www.usatoday.",EXC,$25.00,[https://www.usatoday],1
$1k in a day. 4 x SPY $280p 5/8. Started at $2.25 and closed at $4.75,SPY,$2.25,[a day],1
$LPI Laredo Petroleum Q1 results beat guidance/oil production fully hedged at $59.50/debt maturities extended to 2025 and beyond. Buy or Sell at open?⛽️,$L,$59.50,[2025],1
BYND pushed the ticker today! Been holding on to this 5/8 99c for a week now. Went full idiot and sold my 5/8 91.50c last Friday. But still a good day folks,BYND,91.50,"[today, a week, last Friday]",1
"Like most of you cucks here, I decided to get into trading stocks with 0 background knowledge in finance about 1.5 months ago when everything crashed. Unlike most cucks here, I created my own unique investment strategy. Here’s my account statement from April",nan,1.5,"[about 1.5 months ago, April]",1
